ImageID,Year,Month,Day,Lat,Lng
1545193_613144990458_1274879218_n.jpg,2014,01,20,45.053955,-70.309117
1380469_651062471601316_1339205753_n.jpg,2013,10,27,44.377504,-70.64954
MPEC15PH01782.jpg,2015,06,13,41.74243,-70.658247
race_1393_photo_25206348.jpg,.,.,.,43.258137,-70.752954
382366_579650314058_1006307198_n.jpg,2013,02,16,42.684884,-70.755842
12015031_10206233856739061_1309774084625383972_o.jpg,2015,09,13,43.254844,-70.768289
422792_10101459751308578_2034145501_n.jpg,2012,09,08,42.32144,-70.927364
1966779_10202417502572592_810335056_n.jpg,2013,03,22,42.42812,-70.929912
11374805_1617034461846836_1427230487_n.jpg,2014,03,17,42.332507,-71.046594
15306211667370791214.jpg,2013,05,24,42.353352,-71.052814
222611_503228978028_5431_n.jpg,2004,11,06,42.304584,-71.095584
62473_606915699008_620962886_n.jpg,2013,11,19,42.091851,-71.263767
582018_561714437698_518842269_n.jpg,2012,06,30,38.897879,-77.036287
BBCC 2013-6.jpg,.,.,.,38.897569,-77.038904
photo-booth-_2510.jpg,2014,10,18,38.893711,-77.040061
photo-booth-_2018.jpg,2014,10,18,38.893737,-77.040102
1620674_617512433068_1404130551_n.jpg,2014,03,05,36.963153,-82.951136
1794591_617459549048_588186836_n.jpg,2014,03,04,36.977012,-82.985457
1916076_514116728888_2863517_n.jpg,2009,12,19,37.648126,-85.348957
1916076_514134603068_2324747_n.jpg,2009,12,19,37.61156,-85.637891
1916108_514116813718_1326712_n.jpg,2009,12,19,37.930924,-85.653161
1930981_506538670378_8161_n.jpg,2008,10,25,29.7604,-95.3698
1915346_1290457584457_4739973_n.jpg,2009,11,14,33.294797,-111.740063
11960142_10206241488130176_3666168304208633274_n.jpg,2015,08,20,32.754204,-117.141027
11951376_694322215648_4791147302914624891_n.jpg,2015,08,20,32.754311,-117.14111
2195_51875558799_9712_n.jpg,2009,02,13,32.980276,-117.22349
IMG_2407.jpg,.,.,.,32.755668,-117.236718
2475_507824972618_4309_n.jpg,2009,02,14,32.773583,-117.252268
250251_533262864878_3977962_n.jpg,2011,07,21,34.062658,-118.200076
IMG_1896.jpg,.,.,.,33.705852,-118.484914
9173667700460387978.jpg,2013,06,22,43.991787,-121.38703
297501_3094424019891_90718755_n.jpg,2012,08,06,45.629817,-121.901951
168249_521320148178_2227374_n.jpg,2009,05,31,45.480449,-122.612106
1917864_513886709848_7187249_n.jpg,2005,12,04,45.480628,-122.628481
10400267_503804489698_3273_n.jpg,2007,10,21,45.480068,-122.631796
1924205_506681618908_4732_n.jpg,2008,10,27,45.481064,-122.63209
1929307_503826555478_732_n.jpg,2007,10,29,45.481552,-122.632575
10400267_503787219308_2309_n.jpg,2007,10,09,45.483855,-122.633356
IMG_2713.jpg,.,.,.,43.158787,-70.75
IMG_2574.jpg,.,.,.,44.859572,-70.52
IMG_2533.jpg,.,.,.,45.503375,-73.59
IMG_2523.jpg,.,.,.,45.504877,-73.56
IMG_2238.jpg,2015,2,10,.,.
IMG_2216.jpg,.,.,.,40.683189,-74.02
IMG_1015.jpg,2014,1,15,45.993053,-123.93
IMG_0567.jpg,.,.,.,37.800351,-122.46
IMG_0561.jpg,.,.,.,37.781205,-122.42
IMG_0134_2.jpg,.,.,.,43.48712,-70.491237
IMG_0564.jpg,2013,6,28,37.779471,-122.42
